,Ano de referência do Coleta,Grande área do conhecimento do programa de pós-graduação,Área de conhecimento do programa de pós-graduação,Área básica do conhecimento do programa de pós-graduação,Subárea do conhecimento do programa de pós-graduação,Especialidade do conhecimento programa de pós-graduação,Código identificador da área de avaliação do programa de pós-graduação,Área de avaliação do programa de pós-graduação,Código da Instituição de Ensino Superior na CAPES,Código e-Mec da Instituição de Ensino Superior,Sigla da Instituição de Ensino Superior do programa de pós-graduação,Instituição de Ensino Superior do programa de pós-graduação,Indicador de programa de pós-graduação em rede,"Siglas das Instituições que compõem o programa em rede, quando for o caso",Status Jurídico da Instituição de Ensino Superior,Dependência administrativa da Instituição de Ensino Superior,Organização acadêmica da Instituição de Ensino Superior,Grande Região onde está localizado o programa,Sigla da Unidade da Federação do programa,Município sede do programa de pós-graduação,Modalidade do programa de pós-graduação,Código do programa de pós-graduação,Nome do programa de pós-graduação,Nome do programa de pós-graduação em inglês,Nível do programa de pós-graduação,Nota/Conceito do programa de pós-graduação,Ano de início do programa de pós-graduação,Ano de início de cada curso que compõe o programa,Situação do programa no ano de referência
0,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,PROFISSIONAL,10001018039P2,DIREITOS HUMANOS E DESENVOLVIMENTO DA JUSTIÇA,PROFESSIONAL INTERDISCIPLINARY MASTER ON HUMAN RIGHTS AND DEVELOPMENT OF JUSTICE,MESTRADO PROFISSIONAL,3,2017,2017,EM FUNCIONAMENTO
31,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,PROFISSIONAL,11001011007P6,ENSINO DE CIÊNCIAS E MATEMÁTICA,PROFESSIONAL MASTER IN TEACHING SCIENCE AND MATHEMATICS,MESTRADO PROFISSIONAL,3,2014,2014,EM FUNCIONAMENTO
185,2021,ENGENHARIAS,ENGENHARIA CIVIL,OBRAS DE TERRA E ENROCAMENTO,GEOTÉCNICA,OBRAS DE TERRA E ENROCAMENTO,10,ENGENHARIAS I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,TUCURUÍ,PROFISSIONAL,15001016090P1,ENGENHARIA DE BARRAGEM E GESTÃO AMBIENTAL,PROFESSIONAL MASTER'S DEGREE IN DAMS ENGINEERING AND ENVIRONMENTAL MANAGEMENT,MESTRADO PROFISSIONAL,3,2016,2016,EM FUNCIONAMENTO
75,2021,CIÊNCIAS DA SAÚDE,MEDICINA,CIRURGIA,CIRURGIA,NÃO SE APLICA,17,MEDICINA III,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,PROFISSIONAL,12001015065P9,CIRURGIA,PROFESSIONAL MASTER'S DEGREE IN SURGERY,MESTRADO PROFISSIONAL,3,2015,2015,EM FUNCIONAMENTO
276,2021,ENGENHARIAS,ENGENHARIA SANITÁRIA,ENGENHARIA SANITÁRIA,NÃO SE APLICA,NÃO SE APLICA,10,ENGENHARIAS I,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,PROFISSIONAL,16003012010P3,ENGENHARIA AMBIENTAL,PROFESSIONAL MASTER'S IN ENVIRONMENTAL ENGINEERING,MESTRADO PROFISSIONAL,3,2011,2011,EM FUNCIONAMENTO
280,2021,CIÊNCIAS SOCIAIS APLICADAS,PLANEJAMENTO URBANO E REGIONAL,PLANEJAMENTO URBANO E REGIONAL,NÃO SE APLICA,NÃO SE APLICA,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,PROFISSIONAL,16003012017P8,GESTÃO DE POLÍTICAS PÚBLICAS,PROFESSIONAL MASTER'S IN PUBLIC POLICY MANAGEMENT,MESTRADO PROFISSIONAL,4,2013,2013,EM FUNCIONAMENTO
192,2021,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,NÃO SE APLICA,NÃO SE APLICA,5,GEOCIÊNCIAS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016080P6,RECURSOS HÍDRICOS,PROFESSIONAL MASTERS IN WATER RESOURCES,MESTRADO PROFISSIONAL,3,2015,2015,EM FUNCIONAMENTO
7,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,PROFISSIONAL,10001018016P2,EDUCAÇÃO ESCOLAR,PROFESSIONAL MASTERS OF SCHOOL EDUCATION,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,4,2014,2014,EM FUNCIONAMENTO
305,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,PROFISSIONAL,20001010041P5,GESTÃO DE ENSINO DA EDUCAÇÃO BÁSICA,PROGRAM GRADUATE EDUCATION EDUCATION MANAGEMENT BASIC,MESTRADO PROFISSIONAL,3,2016,2016,EM FUNCIONAMENTO
302,2021,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,NÃO SE APLICA,NÃO SE APLICA,24,MEDICINA VETERINÁRIA,17010004,NI,UFNT,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS - UFNT,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,TO,ARAGUAÍNA,ACADÊMICO,17010004003P7,SANIDADE ANIMAL E SAÚDE PÚBLICA NOS TRÓPICOS,PROGRAM IN ANIMAL HEALTH AND PUBLIC HEALTH IN THE TROPICS,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
212,2021,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,CIÊNCIA POLÍTICA,NÃO SE APLICA,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016053P9,CIÊNCIA POLÍTICA,PROGRAM IN CIENCIA POLITIC,MESTRADO,3,2008,2008,EM FUNCIONAMENTO
339,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010008P8,EDUCAÇÃO,PROGRAM OF GRADUATE EDUCATION,MESTRADO/DOUTORADO,4,1988,1988/2020,EM FUNCIONAMENTO
251,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,15010015,15059,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,SANTARÉM,ACADÊMICO,15010015005P0,EDUCAÇÃO,PROGRAM OF GRADUATE STUDIES IN EDUCATION,MESTRADO,4,2014,2014,EM FUNCIONAMENTO
329,2021,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010004P2,QUÍMICA,PROGRAMA DE PÓS GRADUAÇÃO EM QUÍMICA,MESTRADO,3,1995,1995,EM FUNCIONAMENTO
174,2021,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016007P7,QUÍMICA,PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA,MESTRADO/DOUTORADO,4,1987,1987/2005,EM FUNCIONAMENTO
319,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SAÚDE E BIOLÓGICAS,SAÚDE E BIOLÓGICAS,NÃO SE APLICA,45,INTERDISCIPLINAR,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010006P5,SAÚDE E AMBIENTE,PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE E AMBIENTE,MESTRADO,3,1996,1996,EM FUNCIONAMENTO
238,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15006018001P0,EDUCAÇÃO,PROGRAMME POSTGRADUATE IN EDUCATION,MESTRADO/DOUTORADO,4,2005,2005/2019,EM FUNCIONAMENTO
153,2021,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,NÃO SE APLICA,NÃO SE APLICA,37,PSICOLOGIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016045P6,PSICOLOGIA,PSYCHOLOGY,MESTRADO/DOUTORADO,4,2005,2005/2014,EM FUNCIONAMENTO
160,2021,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,NÃO SE APLICA,NÃO SE APLICA,37,PSICOLOGIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016009P0,PSICOLOGIA (TEORIA E PESQUISA DO COMPORTAMENTO),PSYCHOLOGY (THEORY AND RESEARCH OF BEHAVIOR),MESTRADO/DOUTORADO,5,1987,1987/1999,EM FUNCIONAMENTO
44,2021,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,NÃO SE APLICA,NÃO SE APLICA,37,PSICOLOGIA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015036P9,PSICOLOGIA,PSYCHOLOGY GRADUATION PROGRAM,MESTRADO,3,2009,2009,EM FUNCIONAMENTO
398,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,PROFISSIONAL,21001014077P2,GESTÃO PÚBLICA,PUBLIC ADMINISTRATION,MESTRADO PROFISSIONAL,3,2016,2016,EM FUNCIONAMENTO
323,2021,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE COLETIVA,NÃO SE APLICA,NÃO SE APLICA,22,SAÚDE COLETIVA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010015P4,SAÚDE COLETIVA,PUBLIC HEALTH,MESTRADO/DOUTORADO,5,2007,2007/2009,EM FUNCIONAMENTO
119,2021,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE COLETIVA,NÃO SE APLICA,NÃO SE APLICA,22,SAÚDE COLETIVA,13009001,NI,FIOCRUZ-CPQLMD,FIOCRUZ ( CENTRO DE PESQUISA LEÔNIDAS E MARIA DEANE ),SIM,UFAM;UEA,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,13009001042P7,SAÚDE PÚBLICA NA AMAZÔNIA,PUBLIC HEALTH IN THE AMAZON,DOUTORADO,A,2020,2020,EM FUNCIONAMENTO
150,2021,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,ADMINISTRAÇÃO PÚBLICA,ADMINISTRAÇÃO PÚBLICA,NÃO SE APLICA,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016073P0,GESTÃO PÚBLICA,PUBLIC MANAGEMENT,MESTRADO PROFISSIONAL,3,2012,2012,EM FUNCIONAMENTO
166,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016065P7,SEGURANÇA PUBLICA,PUBLIC SAFETY,MESTRADO PROFISSIONAL,3,2011,2011,EM FUNCIONAMENTO
90,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,PROFISSIONAL,12008010007P7,"SEGURANÇA PÚBLICA, CIDADANIA E DIREITOS HUMANOS","PUBLIC SAFETY, HUMAN RIGHTS AND CITIZENSHIP",MESTRADO PROFISSIONAL,3,2012,2012,EM FUNCIONAMENTO
115,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,13003011,5077,UERR,UNIVERSIDADE ESTADUAL DE RORAIMA,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,PROFISSIONAL,13003011004P5,"SEGURANÇA PÚBLICA, DIREITOS HUMANOS E CIDADANIA","PUBLIC SECURITY, HUMAN RIGHTS AND CITIZENSHIP",MESTRADO PROFISSIONAL,3,2016,2016,EM FUNCIONAMENTO
162,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016088P7,GESTÃO DE RISCOS E DESASTRES NATURAIS NA AMAZÔNIA,RISK AND DISASTER MANAGEMENT IN THE AMAZON,MESTRADO PROFISSIONAL,3,2016,2016,EM FUNCIONAMENTO
249,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,15008010,1813,IFPA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",NÃO,,FEDERAL,PÚBLICA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",NORTE,PA,CASTANHAL,PROFISSIONAL,15008010001P3,DESENVOLVIMENTO RURAL E GESTÃO DE EMPREEND. AGROALIMENTARES,RURAL DEVELOPMENT AND MANAGEMENT AGRIFOOD,MESTRADO PROFISSIONAL,4,2013,2013,EM FUNCIONAMENTO
279,2021,CIÊNCIAS AGRÁRIAS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,NÃO SE APLICA,NÃO SE APLICA,25,CIÊNCIA DE ALIMENTOS,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,ACADÊMICO,16003012012P6,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,SCIENCE AND FOOD TECHNOLOGY,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
71,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,HUMAITÁ,ACADÊMICO,12001015171P3,ENSINO DE CIÊNCIAS E HUMANIDADES,SCIENCE AND HUMANITIES TEACHING,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
308,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010039P0,ENSINO DE CIÊNCIAS E MATEMÁTICA,SCIENCE AND MATH TEACHING,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
36,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,ITACOATIARA,ACADÊMICO,12001015041P2,CIÊNCIA E TECNOLOGIA PARA RECURSOS AMAZÔNICOS,SCIENCE AND TECHNOLOGY FOR AMAZON RESOURCES,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
114,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,13003011,5077,UERR,UNIVERSIDADE ESTADUAL DE RORAIMA,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,PROFISSIONAL,13003011001P6,ENSINO DE CIÊNCIAS,SCIENCE EDUCATION,MESTRADO PROFISSIONAL,4,2012,2012,EM FUNCIONAMENTO
239,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15006018012P2,EDUCAÇÃO E ENSINO DE CIÊNCIAS NA AMAZÔNIA,SCIENCE EDUCATION AND TEACHING IN THE AMAZON,MESTRADO PROFISSIONAL,A,2020,2020,EM FUNCIONAMENTO
24,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011006P0,"CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA","SCIENCE, TECHNOLOGY AND INNOVATION FOR THE AMAZON",MESTRADO,3,2011,2011,EM FUNCIONAMENTO
61,2021,CIÊNCIAS HUMANAS,ANTROPOLOGIA,ANTROPOLOGIA,NÃO SE APLICA,NÃO SE APLICA,35,ANTROPOLOGIA / ARQUEOLOGIA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015029P2,ANTROPOLOGIA SOCIAL,SOCIAL ANTHROPOLOGY,MESTRADO/DOUTORADO,4,2008,2008/2010,EM FUNCIONAMENTO
101,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019008P8,SOCIEDADE E FRONTEIRAS,SOCIETY AND BORDERS,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
73,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015014P5,SOCIEDADE E CULTURA NA AMAZÔNIA,SOCIETY AND CULTURE OF AMAZONIA,MESTRADO/DOUTORADO,3,1998,1998/2008,EM FUNCIONAMENTO
258,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SAÚDE E BIOLÓGICAS,SAÚDE E BIOLÓGICAS,NÃO SE APLICA,45,INTERDISCIPLINAR,15010015,15059,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,SANTARÉM,ACADÊMICO,15010015071P2,"SOCIEDADE, AMBIENTE E QUALIDADE DE VIDA","SOCIETY, ENVIRONMENT AND LIFE QUALITY INTERDISCIPLINARY POST GRADUATION PROGRAMME",MESTRADO,3,2016,2016,EM FUNCIONAMENTO
254,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,15010015,15059,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,SANTARÉM,ACADÊMICO,15010015003P7,"SOCIEDADE, NATUREZA E DESENVOLVIMENTO","SOCIETY, NATURE AND DEVELOPMENT",DOUTORADO,4,2013,2013,EM FUNCIONAMENTO
355,2021,CIÊNCIAS SOCIAIS APLICADAS,PLANEJAMENTO URBANO E REGIONAL,PLANEJAMENTO URBANO E REGIONAL,NÃO SE APLICA,NÃO SE APLICA,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20002017003P2,DESENVOLVIMENTO SOCIOESPACIAL E REGIONAL,SOCIO-SPATIAL DEVELOPMENT AND REGIONAL,MESTRADO,3,2010,2010,EM FUNCIONAMENTO
376,2021,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,NÃO SE APLICA,NÃO SE APLICA,34,SOCIOLOGIA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014030P6,SOCIOLOGIA,SOCIOLOGY,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
241,2021,CIÊNCIAS DA SAÚDE,MEDICINA,CIRURGIA EXPERIMENTAL,CIRURGIA,CIRURGIA EXPERIMENTAL,17,MEDICINA III,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15006018007P9,CIRURGIA E PESQUISA EXPERIMENTAL,SURGERY AND EXPERIMENTAL RESEARCH,MESTRADO PROFISSIONAL,3,2014,2014,EM FUNCIONAMENTO
142,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016002P5,DESENVOLVIMENTO SUSTENTÁVEL DO TRÓPICO ÚMIDO,SUSTAINABLE DEVELOPMENT OF THE HUMID TROPICS,MESTRADO/DOUTORADO,6,1977,1977/1994,EM FUNCIONAMENTO
348,2021,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,NÃO SE APLICA,NÃO SE APLICA,2,CIÊNCIA DA COMPUTAÇÃO,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,PROFISSIONAL,20002017004P9,ENGENHARIA DE COMPUTAÇÃO E SISTEMAS,SYSTEMS AND COMPUTER ENGINEERING GRADUATE PROGRAM,MESTRADO PROFISSIONAL,3,2011,2011,EM FUNCIONAMENTO
322,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,IMPERATRIZ,PROFISSIONAL,20001010053P3,FORMAÇÃO DOCENTE EM PRÁTICAS EDUCATIVAS,TEACHER EDUCATION IN EDUCATIONAL PRACTICES,MESTRADO PROFISSIONAL,A,2019,2019,EM FUNCIONAMENTO
